"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 09 20:16:41 CST 2023","Thu Nov 09 20:16:41 CST 2023","0","764_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 18:48:36 CST 2023","Thu Nov 09 18:48:36 CST 2023","0","208_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 19:26:28 CST 2023","Thu Nov 09 19:26:28 CST 2023","0","426_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 15:41:44 CST 2023","Thu Nov 09 15:41:44 CST 2023","0","716_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 15:41:32 CST 2023","Thu Nov 09 15:41:32 CST 2023","0","681_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 18:50:26 CST 2023","Thu Nov 09 18:50:26 CST 2023","0","676_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 20:08:50 CST 2023","Thu Nov 09 20:08:50 CST 2023","0","959_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Wed Oct 18 23:23:05 CST 2023","Wed Oct 18 23:23:05 CST 2023","0","334_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 20:51:29 CST 2023","Thu Nov 09 20:51:29 CST 2023","0","811_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"passed","Fri Nov 10 11:47:52 CST 2023","Fri Nov 10 11:48:20 CST 2023","28043","183_testcase","test_login","TestLogin","","","首页上滑D5F7N18327001530","首页上滑"
"broken","Thu Nov 09 22:46:39 CST 2023","Thu Nov 09 22:46:39 CST 2023","0","394_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 20:19:15 CST 2023","Thu Nov 09 20:19:15 CST 2023","0","540_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Wed Oct 18 22:32:25 CST 2023","Wed Oct 18 22:32:25 CST 2023","0","550_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 21:05:56 CST 2023","Thu Nov 09 21:05:56 CST 2023","0","150_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 20:18:04 CST 2023","Thu Nov 09 20:18:04 CST 2023","0","801_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 18:49:12 CST 2023","Thu Nov 09 18:49:12 CST 2023","0","726_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 11:54:27 CST 2023","Thu Nov 09 11:54:27 CST 2023","0","798_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 19:36:24 CST 2023","Thu Nov 09 19:36:24 CST 2023","0","783_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 15:19:25 CST 2023","Thu Nov 09 15:19:25 CST 2023","0","562_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 16:26:26 CST 2023","Thu Nov 09 16:26:26 CST 2023","0","152_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 22:10:05 CST 2023","Thu Nov 09 22:10:05 CST 2023","0","226_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 21:08:20 CST 2023","Thu Nov 09 21:08:20 CST 2023","0","439_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"passed","Thu Oct 19 16:41:12 CST 2023","Thu Oct 19 16:41:31 CST 2023","19280","199_testcase","test_login","TestLogin","","","首页上滑127.0.0.1:62001","首页上滑"
"broken","Thu Nov 09 15:26:04 CST 2023","Thu Nov 09 15:26:04 CST 2023","0","697_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Fri Nov 10 11:16:56 CST 2023","Fri Nov 10 11:16:56 CST 2023","0","445_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Mon Oct 23 23:14:29 CST 2023","Mon Oct 23 23:16:05 CST 2023","95469","239_testcase","test_login","TestLogin","","","登录T9Y0221C09002076","用户正常登录"
"broken","Thu Nov 09 22:44:43 CST 2023","Thu Nov 09 22:44:43 CST 2023","0","718_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 11:45:20 CST 2023","Thu Nov 09 11:45:20 CST 2023","0","530_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"passed","Wed Oct 18 23:32:54 CST 2023","Wed Oct 18 23:33:11 CST 2023","16656","778_testcase","test_login","TestLogin","","","首页上滑127.0.0.1:62001","首页上滑"
"passed","Thu Oct 19 16:38:30 CST 2023","Thu Oct 19 16:38:49 CST 2023","18390","539_testcase","test_login","TestLogin","","","首页上滑127.0.0.1:62001","首页上滑"
"failed","Fri Nov 10 11:45:53 CST 2023","Fri Nov 10 11:46:24 CST 2023","30574","138_testcase","test_login","TestLogin","","","登录D5F0218710007612","用户正常登录"
"broken","Thu Nov 09 15:41:58 CST 2023","Thu Nov 09 15:41:58 CST 2023","0","700_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 11:54:27 CST 2023","Thu Nov 09 11:54:27 CST 2023","0","642_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 20:09:01 CST 2023","Thu Nov 09 20:09:01 CST 2023","0","607_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 16:21:34 CST 2023","Thu Nov 09 16:21:34 CST 2023","0","638_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 14:50:27 CST 2023","Thu Nov 09 14:50:27 CST 2023","0","315_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 22:20:11 CST 2023","Thu Nov 09 22:20:11 CST 2023","0","379_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"passed","Fri Nov 10 11:45:26 CST 2023","Fri Nov 10 11:45:55 CST 2023","28544","321_testcase","test_login","TestLogin","","","首页上滑D5F7N18327001530","首页上滑"
"broken","Thu Nov 09 17:43:15 CST 2023","Thu Nov 09 17:43:15 CST 2023","0","114_testcase","test_login","TestLogin","","","test_login","用户正常登录"
